74,	73,	-1,	-1,	-1,	-1,	-1,	-1,	-1,	-1,	-1,	-1,	-1,	74,	-1,	85,	87,	85,	-1,	-1,	-1,	-1,	-1,	-1,	-1,	-1,	-1,	-1,	85,	83
83,	-1,	-1,	-1,	-1,	-1,	-1,	-1,	-1,	-1,	-1,	-1,	-1,	-1,	90,	-1,	-1,	86,	-1,	-1,	-1,	-1,	-1,	-1,	-1,	-1,	-1,	-1,	-1,	74
88,	-1,	-1,	85,	-1,	-1,	-1,	-1,	87,	86,	-1,	-1,	-1,	-1,	-1,	76,	72,	-1,	-1,	-1,	-1,	-1,	84,	85,	86,	-1,	-1,	-1,	-1,	-1
-1,	-1,	-1,	88,	76,	89,	-1,	-1,	87,	84,	87,	87,	-1,	-1,	-1,	-1,	-1,	85,	-1,	72,	-1,	-1,	77,	76,	88,	72,	-1,	-1,	-1,	-1
72,	-1,	-1,	-1,	77,	76,	-1,	-1,	-1,	77,	90,	74,	84,	-1,	-1,	-1,	-1,	77,	77,	-1,	-1,	-1,	73,	84,	90,	90,	83,	-1,	-1,	-1
-1,	-1,	73,	-1,	-1,	-1,	-1,	-1,	-1,	-1,	84,	-1,	73,	-1,	-1,	-1,	-1,	-1,	-1,	-1,	-1,	-1,	-1,	83,	76,	85,	73,	-1,	-1,	-1
-1,	-1,	90,	76,	76,	85,	-1,	-1,	-1,	-1,	76,	76,	84,	73,	73,	88,	85,	-1,	-1,	-1,	-1,	-1,	-1,	-1,	-1,	-1,	-1,	-1,	-1,	-1
-1,	-1,	-1,	-1,	84,	73,	-1,	-1,	-1,	-1,	-1,	-1,	84,	-1,	85,	84,	-1,	-1,	-1,	-1,	-1,	-1,	-1,	-1,	87,	72,	-1,	-1,	-1,	-1
-1,	-1,	-1,	-1,	-1,	86,	-1,	-1,	-1,	-1,	-1,	-1,	-1,	-1,	83,	77,	83,	-1,	-1,	-1,	-1,	-1,	-1,	-1,	77,	87,	87,	-1,	-1,	-1
90,	-1,	-1,	-1,	-1,	-1,	-1,	-1,	-1,	-1,	-1,	-1,	-1,	-1,	-1,	-1,	90,	86,	-1,	-1,	-1,	-1,	-1,	-1,	-1,	-1,	72,	83,	-1,	-1
76,	72,	-1,	-1,	-1,	-1,	-1,	-1,	87,	72,	-1,	-1,	-1,	-1,	-1,	-1,	-1,	-1,	-1,	-1,	-1,	-1,	-1,	-1,	-1,	-1,	-1,	-1,	-1,	-1
-1,	-1,	86,	-1,	-1,	-1,	-1,	-1,	-1,	85,	72,	-1,	-1,	85,	74,	-1,	-1,	-1,	-1,	-1,	-1,	-1,	-1,	88,	-1,	-1,	-1,	-1,	-1,	-1
-1,	-1,	-1,	-1,	-1,	85,	90,	-1,	-1,	-1,	-1,	-1,	-1,	-1,	87,	-1,	-1,	-1,	-1,	88,	87,	-1,	-1,	87,	76,	-1,	-1,	-1,	-1,	-1
-1,	87,	-1,	-1,	-1,	-1,	86,	90,	76,	-1,	-1,	-1,	-1,	-1,	-1,	-1,	-1,	-1,	-1,	-1,	88,	-1,	-1,	-1,	86,	88,	-1,	-1,	84,	83
-1,	89,	87,	-1,	-1,	-1,	-1,	88,	87,	83,	-1,	-1,	-1,	-1,	-1,	-1,	-1,	-1,	-1,	-1,	-1,	-1,	-1,	-1,	-1,	-1,	-1,	-1,	-1,	84
-1,	-1,	86,	76,	-1,	-1,	-1,	-1,	-1,	84,	-1,	-1,	-1,	-1,	-1,	74,	72,	-1,	-1,	-1,	-1,	-1,	-1,	-1,	-1,	-1,	-1,	-1,	84,	89
-1,	-1,	-1,	-1,	-1,	-1,	73,	72,	-1,	-1,	-1,	-1,	-1,	-1,	-1,	88,	76,	85,	-1,	-1,	-1,	-1,	84,	83,	-1,	-1,	-1,	-1,	-1,	88
85,	76,	-1,	-1,	-1,	-1,	-1,	84,	73,	87,	-1,	-1,	-1,	-1,	-1,	-1,	85,	90,	89,	-1,	-1,	-1,	-1,	76,	85,	88,	-1,	-1,	77,	88
-1,	90,	89,	-1,	-1,	-1,	-1,	84,	73,	74,	-1,	-1,	89,	86,	-1,	-1,	-1,	-1,	-1,	-1,	-1,	-1,	-1,	72,	88,	89,	-1,	-1,	86,	76
-1,	-1,	89,	89,	84,	-1,	-1,	-1,	-1,	74,	-1,	-1,	-1,	87,	87,	73,	74,	-1,	-1,	-1,	-1,	-1,	-1,	-1,	-1,	-1,	84,	88,	77,	73
